core,task,job,duration
1,Task-15,"Task-15, Job_0","{0, 54}"
1,Task-15,"Task-15, Job_1","{100, 154}"
1,Task-15,"Task-15, Job_2","{200, 254}"
1,Task-15,"Task-15, Job_3","{300, 354}"
1,Task-15,"Task-15, Job_4","{400, 454}"
1,Task-15,"Task-15, Job_5","{500, 554}"
1,Task-15,"Task-15, Job_6","{600, 654}"
1,Task-15,"Task-15, Job_7","{700, 754}"
1,Task-15,"Task-15, Job_8","{800, 854}"
1,Task-15,"Task-15, Job_9","{900, 954}"
1,Task-15,"Task-15, Job_10","{1000, 1054}"
1,Task-15,"Task-15, Job_11","{1100, 1154}"
1,Task-15,"Task-15, Job_12","{1200, 1254}"
1,Task-15,"Task-15, Job_13","{1300, 1354}"
1,Task-15,"Task-15, Job_14","{1400, 1454}"
1,Task-15,"Task-15, Job_15","{1500, 1554}"
1,Task-15,"Task-15, Job_16","{1600, 1654}"
1,Task-15,"Task-15, Job_17","{1700, 1754}"
1,Task-15,"Task-15, Job_18","{1800, 1854}"
1,Task-15,"Task-15, Job_19","{1900, 1954}"
2,Task-12,"Task-12, Job_0","{0, 3}"
2,Task-17,"Task-17, Job_0","{3, 168}"
2,Task-12,"Task-12, Job_1","{200, 203}"
2,Task-12,"Task-12, Job_2","{400, 403}"
2,Task-17,"Task-17, Job_1","{403, 568}"
2,Task-12,"Task-12, Job_3","{600, 603}"
2,Task-12,"Task-12, Job_4","{800, 803}"
2,Task-17,"Task-17, Job_2","{803, 968}"
2,Task-12,"Task-12, Job_5","{1000, 1003}"
2,Task-12,"Task-12, Job_6","{1200, 1203}"
2,Task-17,"Task-17, Job_3","{1203, 1368}"
2,Task-12,"Task-12, Job_7","{1400, 1403}"
2,Task-12,"Task-12, Job_8","{1600, 1603}"
2,Task-17,"Task-17, Job_4","{1603, 1768}"
2,Task-12,"Task-12, Job_9","{1800, 1803}"
3,Task-13,"Task-13, Job_0","{0, 38}"
3,Task-2,"Task-2, Job_0","{38, 40}"
3,Task-1_copy-1,"Task-1_copy-1, Job_0","{40, 42}"
3,Task-13,"Task-13, Job_1","{100, 138}"
3,Task-13,"Task-13, Job_2","{200, 238}"
3,Task-2,"Task-2, Job_1","{238, 240}"
3,Task-13,"Task-13, Job_3","{300, 338}"
3,Task-13,"Task-13, Job_4","{400, 438}"
3,Task-2,"Task-2, Job_2","{438, 440}"
3,Task-13,"Task-13, Job_5","{500, 538}"
3,Task-13,"Task-13, Job_6","{600, 638}"
3,Task-2,"Task-2, Job_3","{638, 640}"
3,Task-13,"Task-13, Job_7","{700, 738}"
3,Task-13,"Task-13, Job_8","{800, 838}"
3,Task-2,"Task-2, Job_4","{838, 840}"
3,Task-13,"Task-13, Job_9","{900, 938}"
3,Task-13,"Task-13, Job_10","{1000, 1038}"
3,Task-2,"Task-2, Job_5","{1038, 1040}"
3,Task-1_copy-1,"Task-1_copy-1, Job_1","{1040, 1042}"
3,Task-13,"Task-13, Job_11","{1100, 1138}"
3,Task-13,"Task-13, Job_12","{1200, 1238}"
3,Task-2,"Task-2, Job_6","{1238, 1240}"
3,Task-13,"Task-13, Job_13","{1300, 1338}"
3,Task-13,"Task-13, Job_14","{1400, 1438}"
3,Task-2,"Task-2, Job_7","{1438, 1440}"
3,Task-13,"Task-13, Job_15","{1500, 1538}"
3,Task-13,"Task-13, Job_16","{1600, 1638}"
3,Task-2,"Task-2, Job_8","{1638, 1640}"
3,Task-13,"Task-13, Job_17","{1700, 1738}"
3,Task-13,"Task-13, Job_18","{1800, 1838}"
3,Task-2,"Task-2, Job_9","{1838, 1840}"
3,Task-13,"Task-13, Job_19","{1900, 1938}"
4,Task-3,"Task-3, Job_0","{0, 29}"
4,Task-2_copy-1,"Task-2_copy-1, Job_0","{29, 31}"
4,Task-0_copy-1,"Task-0_copy-1, Job_0","{31, 39}"
4,Task-3,"Task-3, Job_1","{200, 229}"
4,Task-2_copy-1,"Task-2_copy-1, Job_1","{229, 231}"
4,Task-3,"Task-3, Job_2","{400, 429}"
4,Task-2_copy-1,"Task-2_copy-1, Job_2","{429, 431}"
4,Task-0_copy-1,"Task-0_copy-1, Job_1","{500, 508}"
4,Task-3,"Task-3, Job_3","{600, 629}"
4,Task-2_copy-1,"Task-2_copy-1, Job_3","{629, 631}"
4,Task-3,"Task-3, Job_4","{800, 829}"
4,Task-2_copy-1,"Task-2_copy-1, Job_4","{829, 831}"
4,Task-3,"Task-3, Job_5","{1000, 1029}"
4,Task-2_copy-1,"Task-2_copy-1, Job_5","{1029, 1031}"
4,Task-0_copy-1,"Task-0_copy-1, Job_2","{1031, 1039}"
4,Task-3,"Task-3, Job_6","{1200, 1229}"
4,Task-2_copy-1,"Task-2_copy-1, Job_6","{1229, 1231}"
4,Task-3,"Task-3, Job_7","{1400, 1429}"
4,Task-2_copy-1,"Task-2_copy-1, Job_7","{1429, 1431}"
4,Task-0_copy-1,"Task-0_copy-1, Job_3","{1500, 1508}"
4,Task-3,"Task-3, Job_8","{1600, 1629}"
4,Task-2_copy-1,"Task-2_copy-1, Job_8","{1629, 1631}"
4,Task-3,"Task-3, Job_9","{1800, 1829}"
4,Task-2_copy-1,"Task-2_copy-1, Job_9","{1829, 1831}"
5,Task-3_copy-1,"Task-3_copy-1, Job_0","{0, 29}"
5,Task-2_copy-2,"Task-2_copy-2, Job_0","{29, 31}"
5,Task-0,"Task-0, Job_0","{31, 39}"
5,Task-3_copy-1,"Task-3_copy-1, Job_1","{200, 229}"
5,Task-2_copy-2,"Task-2_copy-2, Job_1","{229, 231}"
5,Task-3_copy-1,"Task-3_copy-1, Job_2","{400, 429}"
5,Task-2_copy-2,"Task-2_copy-2, Job_2","{429, 431}"
5,Task-0,"Task-0, Job_1","{500, 508}"
5,Task-3_copy-1,"Task-3_copy-1, Job_3","{600, 629}"
5,Task-2_copy-2,"Task-2_copy-2, Job_3","{629, 631}"
5,Task-3_copy-1,"Task-3_copy-1, Job_4","{800, 829}"
5,Task-2_copy-2,"Task-2_copy-2, Job_4","{829, 831}"
5,Task-3_copy-1,"Task-3_copy-1, Job_5","{1000, 1029}"
5,Task-2_copy-2,"Task-2_copy-2, Job_5","{1029, 1031}"
5,Task-0,"Task-0, Job_2","{1031, 1039}"
5,Task-3_copy-1,"Task-3_copy-1, Job_6","{1200, 1229}"
5,Task-2_copy-2,"Task-2_copy-2, Job_6","{1229, 1231}"
5,Task-3_copy-1,"Task-3_copy-1, Job_7","{1400, 1429}"
5,Task-2_copy-2,"Task-2_copy-2, Job_7","{1429, 1431}"
5,Task-0,"Task-0, Job_3","{1500, 1508}"
5,Task-3_copy-1,"Task-3_copy-1, Job_8","{1600, 1629}"
5,Task-2_copy-2,"Task-2_copy-2, Job_8","{1629, 1631}"
5,Task-3_copy-1,"Task-3_copy-1, Job_9","{1800, 1829}"
5,Task-2_copy-2,"Task-2_copy-2, Job_9","{1829, 1831}"
6,Task-3_copy-2,"Task-3_copy-2, Job_0","{0, 29}"
6,Task-4_copy-2,"Task-4_copy-2, Job_0","{29, 38}"
6,Task-6,"Task-6, Job_0","{38, 41}"
6,Task-1_copy-2,"Task-1_copy-2, Job_0","{41, 43}"
6,Task-3_copy-2,"Task-3_copy-2, Job_1","{200, 229}"
6,Task-3_copy-2,"Task-3_copy-2, Job_2","{400, 429}"
6,Task-4_copy-2,"Task-4_copy-2, Job_1","{500, 509}"
6,Task-6,"Task-6, Job_1","{509, 512}"
6,Task-3_copy-2,"Task-3_copy-2, Job_3","{600, 629}"
6,Task-3_copy-2,"Task-3_copy-2, Job_4","{800, 829}"
6,Task-3_copy-2,"Task-3_copy-2, Job_5","{1000, 1029}"
6,Task-4_copy-2,"Task-4_copy-2, Job_2","{1029, 1038}"
6,Task-6,"Task-6, Job_2","{1038, 1041}"
6,Task-1_copy-2,"Task-1_copy-2, Job_1","{1041, 1043}"
6,Task-3_copy-2,"Task-3_copy-2, Job_6","{1200, 1229}"
6,Task-3_copy-2,"Task-3_copy-2, Job_7","{1400, 1429}"
6,Task-4_copy-2,"Task-4_copy-2, Job_3","{1500, 1509}"
6,Task-6,"Task-6, Job_3","{1509, 1512}"
6,Task-3_copy-2,"Task-3_copy-2, Job_8","{1600, 1629}"
