task,utilization,period,criticality,assigned core,core utilization
Task-92,0.2734068091127445,10,low,1,0.2734068091127445
Task-22,0.2072053748077911,20,high,2,0.2072053748077911
Task-22_copy-1,0.2072053748077911,20,high,3,0.2072053748077911
Task-22_copy-2,0.2072053748077911,20,high,4,0.2072053748077911
Task-95,0.20563323401600925,100,low,5,0.20563323401600925
Task-94,0.1935077388518459,1000,low,6,0.1935077388518459
Task-89,0.1849517329715873,20,low,7,0.1849517329715873
Task-55,0.17349625208850128,1000,low,8,0.17349625208850128
Task-3,0.17035819818022802,25,high,9,0.17035819818022802
Task-3_copy-1,0.17035819818022802,25,high,10,0.17035819818022802
Task-3_copy-2,0.17035819818022802,25,high,11,0.17035819818022802
Task-13,0.15569488474905047,50,high,12,0.15569488474905047
Task-13_copy-1,0.15569488474905047,50,high,13,0.15569488474905047
Task-13_copy-2,0.15569488474905047,50,high,14,0.15569488474905047
Task-90,0.15200081306991087,20,low,15,0.15200081306991087
Task-44,0.1469645445282599,200,high,16,0.1469645445282599
Task-44_copy-1,0.1469645445282599,200,high,15,0.2989653575981708
Task-44_copy-2,0.1469645445282599,200,high,14,0.3026594292773104
Task-73,0.14598384615416005,1000,low,16,0.29294839068241996
Task-76,0.1415568766668398,1000,low,13,0.29725176141589027
Task-32,0.13738796227857764,250,high,12,0.2930828470276281
Task-32_copy-1,0.13738796227857764,250,high,11,0.30774616045880565
Task-32_copy-2,0.13738796227857764,250,high,10,0.30774616045880565
Task-36,0.1240440135793146,200,high,9,0.2944022117595426
Task-36_copy-1,0.1240440135793146,200,high,8,0.2975402656678159
Task-36_copy-2,0.1240440135793146,200,high,7,0.3089957465509019
Task-85,0.11051463135236128,100,low,6,0.3040223702042072
Task-35,0.10391755136189351,250,high,5,0.30955078537790276
Task-35_copy-1,0.10391755136189351,250,high,4,0.3111229261696846
Task-35_copy-2,0.10391755136189351,250,high,3,0.3111229261696846
Task-64,0.1038665411438493,100,low,2,0.3110719159516404
Task-24,0.10012270962341674,250,high,1,0.37352951873616125
Task-24_copy-1,0.10012270962341674,250,high,16,0.3930711003058367
Task-24_copy-2,0.10012270962341674,250,high,12,0.39320555665104484
Task-63,0.09304643663586187,20,low,9,0.3874486483954045
Task-8,0.09214532483499394,500,high,13,0.3893970862508842
Task-8_copy-1,0.09214532483499394,500,high,8,0.3896855905028098
Task-8_copy-2,0.09214532483499394,500,high,15,0.3911106824331647
Task-84,0.08687621278085556,200,low,14,0.38953564205816593
Task-60,0.08358248704839655,1000,low,6,0.38760485725260374
Task-14,0.08045013670275125,20,high,10,0.3881962971615569
Task-14_copy-1,0.08045013670275125,20,high,11,0.3881962971615569
Task-14_copy-2,0.08045013670275125,20,high,7,0.38944588325365315
Task-25,0.0798012938115118,20,high,5,0.38935207918941456
Task-25_copy-1,0.0798012938115118,20,high,2,0.3908732097631522
Task-25_copy-2,0.0798012938115118,20,high,3,0.3909242199811964
Task-54,0.07641740715373668,250,low,4,0.3875403333234213
Task-17,0.07272756707567218,500,high,1,0.44625708581183343
Task-17_copy-1,0.07272756707567218,500,high,9,0.4601762154710767
Task-17_copy-2,0.07272756707567218,500,high,4,0.4602679003990935
Task-29,0.07169483902981444,200,high,6,0.4592996962824182
Task-29_copy-1,0.07169483902981444,200,high,11,0.45989113619137134
Task-29_copy-2,0.07169483902981444,200,high,10,0.45989113619137134
Task-28,0.07165507790732129,20,high,5,0.46100715709673584
Task-28_copy-1,0.07165507790732129,20,high,13,0.4610521641582055
Task-28_copy-2,0.07165507790732129,20,high,7,0.46110096116097443
Task-43,0.0688270244766116,200,high,14,0.45836266653477753
Task-43_copy-1,0.0688270244766116,200,high,8,0.4585126149794214
Task-43_copy-2,0.0688270244766116,200,high,2,0.4597002342397638
Task-42,0.06786553109965432,1000,high,3,0.45878975108085074
Task-42_copy-1,0.06786553109965432,1000,high,15,0.45897621353281903
