task,utilization,period,criticality,assigned core,core utilization
Task-48,0.08879132322200123,10,high,1,0.08879132322200123
Task-48_copy-1,0.08879132322200123,10,high,2,0.08879132322200123
Task-48_copy-2,0.08879132322200123,10,high,3,0.08879132322200123
Task-83,0.07128029365017918,40,low,4,0.07128029365017918
Task-9,0.06977132227558602,20,high,5,0.06977132227558602
Task-9_copy-1,0.06977132227558602,20,high,6,0.06977132227558602
Task-9_copy-2,0.06977132227558602,20,high,7,0.06977132227558602
Task-24,0.06882831597846062,1000,high,8,0.06882831597846062
Task-24_copy-1,0.06882831597846062,1000,high,7,0.13859963825404664
Task-24_copy-2,0.06882831597846062,1000,high,6,0.13859963825404664
Task-45,0.06785819491367295,20,high,8,0.13668651089213357
Task-45_copy-1,0.06785819491367295,20,high,5,0.13762951718925898
Task-45_copy-2,0.06785819491367295,20,high,4,0.13913848856385214
Task-44,0.06711919262707222,20,high,3,0.15591051584907345
Task-44_copy-1,0.06711919262707222,20,high,2,0.15591051584907345
Task-44_copy-2,0.06711919262707222,20,high,1,0.15591051584907345
Task-15,0.06685733276307393,10,high,8,0.2035438436552075
Task-15_copy-1,0.06685733276307393,10,high,5,0.2044868499523329
Task-15_copy-2,0.06685733276307393,10,high,6,0.20545697101712057
Task-90,0.06159070616140658,40,low,7,0.20019034441545322
Task-72,0.05900264186458204,200,low,4,0.19814113042843418
Task-80,0.0464990788664148,500,low,1,0.20240959471548825
Task-91,0.04623545374671652,100,low,2,0.20214596959578995
Task-86,0.04467874575985062,50,low,3,0.20058926160892407
Task-33,0.04353681582525959,100,high,4,0.24167794625369377
Task-33_copy-1,0.04353681582525959,100,high,7,0.2437271602407128
Task-33_copy-2,0.04353681582525959,100,high,3,0.24412607743418366
Task-62,0.04321231579370299,100,low,2,0.24535828538949295
Task-4,0.0423514267853462,40,high,1,0.24476102150083445
Task-4_copy-1,0.0423514267853462,40,high,8,0.2458952704405537
Task-4_copy-2,0.0423514267853462,40,high,5,0.2468382767376791
Task-41,0.04131951385232657,500,high,6,0.24677648486944714
Task-41_copy-1,0.04131951385232657,500,high,4,0.28299746010602034
Task-41_copy-2,0.04131951385232657,500,high,7,0.2850466740930394
Task-85,0.03929325672181233,100,low,3,0.28341933415599596
Task-63,0.03903846468770045,40,low,1,0.2837994861885349
Task-97,0.03781270588818031,40,low,2,0.28317099127767326
Task-18,0.032463273027455664,40,high,8,0.27835854346800937
Task-18_copy-1,0.032463273027455664,40,high,6,0.2792397578969028
Task-18_copy-2,0.032463273027455664,40,high,5,0.27930154976513477
Task-46,0.03212813360531763,40,high,8,0.310486677073327
Task-46_copy-1,0.03212813360531763,40,high,6,0.31136789150222044
Task-46_copy-2,0.03212813360531763,40,high,5,0.3114296833704524
Task-36,0.03207473615138645,400,high,4,0.3150721962574068
Task-36_copy-1,0.03207473615138645,400,high,2,0.3152457274290597
Task-36_copy-2,0.03207473615138645,400,high,3,0.3154940703073824
Task-5,0.03198866951367063,500,high,1,0.31578815570220553
Task-5_copy-1,0.03198866951367063,500,high,7,0.31703534360671004
Task-5_copy-2,0.03198866951367063,500,high,8,0.34247534658699763
Task-43,0.030718199559924164,200,high,6,0.3420860910621446
Task-43_copy-1,0.030718199559924164,200,high,5,0.34214788293037657
Task-43_copy-2,0.030718199559924164,200,high,4,0.34579039581733095
Task-52,0.030326414824464076,20,low,2,0.3455721422535238
Task-64,0.028076895565229076,100,low,3,0.3435709658726115
Task-74,0.02767112729997412,400,low,1,0.34345928300217965
Task-28,0.025477407512286332,400,high,7,0.3425127511189964
Task-28_copy-1,0.025477407512286332,400,high,6,0.36756349857443094
Task-28_copy-2,0.025477407512286332,400,high,5,0.3676252904426629
Task-73,0.02540186943749012,10,low,8,0.36787721602448775
Task-25,0.024319697333718304,1000,high,7,0.3668324484527147
Task-25_copy-1,0.024319697333718304,1000,high,1,0.36777898033589795
Task-25_copy-2,0.024319697333718304,1000,high,3,0.3678906632063298
Task-57,0.024153345117488012,40,low,2,0.3697254873710118
Task-13,0.02110116353277114,500,high,4,0.3668915593501021
Task-13_copy-1,0.02110116353277114,500,high,7,0.3879336119854858
Task-13_copy-2,0.02110116353277114,500,high,6,0.3886646621072021
Task-27,0.021067843187726698,10,high,4,0.3879594025378288
Task-27_copy-1,0.021067843187726698,10,high,5,0.3886931336303896
Task-27_copy-2,0.021067843187726698,10,high,1,0.38884682352362465
Task-84,0.020040912458102134,1000,low,8,0.3879181284825899
Task-39,0.01853195318751366,20,high,3,0.38642261639384345
Task-39_copy-1,0.01853195318751366,20,high,2,0.38825744055852546
Task-39_copy-2,0.01853195318751366,20,high,8,0.40645008167010355
Task-76,0.01801798282338285,20,low,3,0.4044405992172263
Task-14,0.017675558878676556,500,high,7,0.40560917086416237
Task-14_copy-1,0.017675558878676556,500,high,4,0.40563496141650535
Task-14_copy-2,0.017675558878676556,500,high,2,0.405932999437202
Task-23,0.01767067277640444,20,high,6,0.4063353348836065
Task-23_copy-1,0.01767067277640444,20,high,5,0.40636380640679404
Task-23_copy-2,0.01767067277640444,20,high,1,0.4065174963000291
Task-54,0.01761347645394329,50,low,3,0.4220540756711696
Task-65,0.017246367322432343,1000,low,7,0.4228555381865947
Task-11,0.016849306032093336,200,high,4,0.4224842674485987
Task-11_copy-1,0.016849306032093336,200,high,2,0.42278230546929535
Task-11_copy-2,0.016849306032093336,200,high,6,0.42318464091569985
Task-89,0.015629277988757906,200,low,5,0.42199308439555194
Task-8,0.01542786375586691,200,high,8,0.42187794542597046
Task-8_copy-1,0.01542786375586691,200,high,1,0.421945360055896
