task,utilization,period,criticality,assigned core,core utilization
Task-17,0.3483453739164666,1000,low,1,0.3483453739164666
Task-9,0.23462408924779043,200,high,2,0.23462408924779043
Task-9_copy-1,0.23462408924779043,200,high,2,0.46924817849558087
Task-9_copy-2,0.23462408924779043,200,high,3,0.23462408924779043
Task-13,0.22977724582807568,400,low,3,0.4644013350758661
Task-1,0.14568674162148576,500,high,1,0.49403211553795234
Task-1_copy-1,0.14568674162148576,500,high,4,0.14568674162148576
Task-1_copy-2,0.14568674162148576,500,high,4,0.2913734832429715
Task-2,0.1263332467600673,500,high,4,0.4177067300030388
Task-2_copy-1,0.1263332467600673,500,high,5,0.1263332467600673
Task-2_copy-2,0.1263332467600673,500,high,5,0.2526664935201346
Task-23,0.12550995523769537,400,low,5,0.37817644875782996
Task-4,0.12349573748480469,1000,high,6,0.12349573748480469
Task-4_copy-1,0.12349573748480469,1000,high,6,0.24699147496960938
Task-4_copy-2,0.12349573748480469,1000,high,6,0.37048721245441407
Task-14,0.12257647551349182,500,low,6,0.4930636879679059
Task-15,0.06289685048368754,1000,low,4,0.48060358048672636
Task-10,0.060447863617952846,1000,high,5,0.4386243123757828
Task-10_copy-1,0.060447863617952846,1000,high,5,0.49907217599373566
Task-10_copy-2,0.060447863617952846,1000,high,7,0.060447863617952846
Task-18,0.055846677480282325,100,low,7,0.11629454109823517
Task-11,0.054059921426398816,400,high,7,0.170354462524634
Task-11_copy-1,0.054059921426398816,400,high,7,0.2244143839510328
Task-11_copy-2,0.054059921426398816,400,high,7,0.2784743053774316
Task-6,0.04458153175422841,400,high,7,0.32305583713166003
Task-6_copy-1,0.04458153175422841,400,high,7,0.36763736888588844
Task-6_copy-2,0.04458153175422841,400,high,7,0.41221890064011685
Task-24,0.04088007234615207,400,low,7,0.4530989729862689
Task-22,0.03852202845628808,200,low,7,0.49162100144255694
Task-12,0.038245097540736905,1000,low,8,0.038245097540736905
Task-16,0.03570150186728138,1000,low,8,0.07394659940801829
Task-8,0.029525670325196707,200,high,2,0.4987738488207776
Task-8_copy-1,0.029525670325196707,200,high,3,0.4939270054010628
Task-8_copy-2,0.029525670325196707,200,high,8,0.103472269733215
Task-19,0.01998556960908715,200,low,8,0.12345783934230214
Task-21,0.019191901915124043,200,low,4,0.4997954824018504
Task-20,0.01705405543916816,400,low,8,0.1405118947814703
Task-3,0.010536179620260766,1000,high,8,0.15104807440173107
Task-3_copy-1,0.010536179620260766,1000,high,8,0.16158425402199184
Task-3_copy-2,0.010536179620260766,1000,high,8,0.1721204336422526
Task-7,0.010215440053275238,100,high,8,0.18233587369552784
Task-7_copy-1,0.010215440053275238,100,high,8,0.19255131374880308
Task-7_copy-2,0.010215440053275238,100,high,8,0.20276675380207831
Task-5,0.0036087896650349727,400,high,1,0.4976409052029873
Task-5_copy-1,0.0036087896650349727,400,high,3,0.4975357950660978
Task-5_copy-2,0.0036087896650349727,400,high,6,0.49667247763294087
Task-0,0.0023519827899669554,400,high,1,0.49999288799295427
Task-0_copy-1,0.0023519827899669554,400,high,3,0.49988777785606475
Task-0_copy-2,0.0023519827899669554,400,high,6,0.4990244604229078
