core,task,job,duration
1,Task-9_copy-2,"Task-9_copy-2, Job_0","{0, 3}"
1,Task-5_copy-2,"Task-5_copy-2, Job_0","{3, 4}"
1,Task-1_copy-1,"Task-1_copy-1, Job_0","{4, 29}"
1,Task-3_copy-1,"Task-3_copy-1, Job_0","{29, 30}"
1,Task-10,"Task-10, Job_0","{30, 94}"
1,Task-4_copy-2,"Task-4_copy-2, Job_0","{94, 100}"
1,Task-9_copy-2,"Task-9_copy-2, Job_1","{100, 103}"
1,Task-5_copy-2,"Task-5_copy-2, Job_1","{103, 104}"
1,Task-4_copy-2,"Task-4_copy-2, Job_0","{104, 134}"
1,Task-9_copy-2,"Task-9_copy-2, Job_2","{200, 203}"
1,Task-5_copy-2,"Task-5_copy-2, Job_2","{203, 204}"
1,Task-9_copy-2,"Task-9_copy-2, Job_3","{300, 303}"
1,Task-5_copy-2,"Task-5_copy-2, Job_3","{303, 304}"
1,Task-9_copy-2,"Task-9_copy-2, Job_4","{400, 403}"
1,Task-5_copy-2,"Task-5_copy-2, Job_4","{403, 404}"
1,Task-1_copy-1,"Task-1_copy-1, Job_1","{404, 429}"
1,Task-3_copy-1,"Task-3_copy-1, Job_1","{429, 430}"
1,Task-9_copy-2,"Task-9_copy-2, Job_5","{500, 503}"
1,Task-5_copy-2,"Task-5_copy-2, Job_5","{503, 504}"
1,Task-10,"Task-10, Job_1","{504, 568}"
1,Task-9_copy-2,"Task-9_copy-2, Job_6","{600, 603}"
1,Task-5_copy-2,"Task-5_copy-2, Job_6","{603, 604}"
1,Task-9_copy-2,"Task-9_copy-2, Job_7","{700, 703}"
1,Task-5_copy-2,"Task-5_copy-2, Job_7","{703, 704}"
1,Task-9_copy-2,"Task-9_copy-2, Job_8","{800, 803}"
1,Task-5_copy-2,"Task-5_copy-2, Job_8","{803, 804}"
1,Task-1_copy-1,"Task-1_copy-1, Job_2","{804, 829}"
1,Task-3_copy-1,"Task-3_copy-1, Job_2","{829, 830}"
1,Task-9_copy-2,"Task-9_copy-2, Job_9","{900, 903}"
1,Task-5_copy-2,"Task-5_copy-2, Job_9","{903, 904}"
1,Task-9_copy-2,"Task-9_copy-2, Job_10","{1000, 1003}"
1,Task-5_copy-2,"Task-5_copy-2, Job_10","{1003, 1004}"
1,Task-10,"Task-10, Job_2","{1004, 1068}"
1,Task-4_copy-2,"Task-4_copy-2, Job_1","{1068, 1100}"
1,Task-9_copy-2,"Task-9_copy-2, Job_11","{1100, 1103}"
1,Task-5_copy-2,"Task-5_copy-2, Job_11","{1103, 1104}"
1,Task-4_copy-2,"Task-4_copy-2, Job_1","{1104, 1108}"
1,Task-9_copy-2,"Task-9_copy-2, Job_12","{1200, 1203}"
1,Task-5_copy-2,"Task-5_copy-2, Job_12","{1203, 1204}"
1,Task-1_copy-1,"Task-1_copy-1, Job_3","{1204, 1229}"
1,Task-3_copy-1,"Task-3_copy-1, Job_3","{1229, 1230}"
1,Task-9_copy-2,"Task-9_copy-2, Job_13","{1300, 1303}"
1,Task-5_copy-2,"Task-5_copy-2, Job_13","{1303, 1304}"
1,Task-9_copy-2,"Task-9_copy-2, Job_14","{1400, 1403}"
