core,task,job,duration
1,Task-19,"Task-19, Job_0","{0, 89}"
1,Task-19,"Task-19, Job_1","{100, 189}"
1,Task-19,"Task-19, Job_2","{200, 289}"
1,Task-19,"Task-19, Job_3","{300, 389}"
1,Task-19,"Task-19, Job_4","{400, 489}"
1,Task-19,"Task-19, Job_5","{500, 589}"
1,Task-19,"Task-19, Job_6","{600, 689}"
1,Task-19,"Task-19, Job_7","{700, 789}"
1,Task-19,"Task-19, Job_8","{800, 889}"
1,Task-19,"Task-19, Job_9","{900, 989}"
1,Task-19,"Task-19, Job_10","{1000, 1089}"
1,Task-19,"Task-19, Job_11","{1100, 1189}"
1,Task-19,"Task-19, Job_12","{1200, 1289}"
1,Task-19,"Task-19, Job_13","{1300, 1389}"
1,Task-19,"Task-19, Job_14","{1400, 1489}"
1,Task-19,"Task-19, Job_15","{1500, 1589}"
1,Task-19,"Task-19, Job_16","{1600, 1689}"
1,Task-19,"Task-19, Job_17","{1700, 1789}"
1,Task-19,"Task-19, Job_18","{1800, 1889}"
1,Task-19,"Task-19, Job_19","{1900, 1989}"
2,Task-10,"Task-10, Job_0","{0, 1}"
2,Task-18,"Task-18, Job_0","{1, 100}"
2,Task-10,"Task-10, Job_1","{100, 101}"
2,Task-18,"Task-18, Job_0","{101, 200}"
2,Task-10,"Task-10, Job_2","{200, 201}"
2,Task-18,"Task-18, Job_0","{201, 284}"
2,Task-16,"Task-16, Job_0","{284, 288}"
2,Task-22,"Task-22, Job_0","{288, 300}"
2,Task-10,"Task-10, Job_3","{300, 301}"
2,Task-22,"Task-22, Job_0","{301, 312}"
2,Task-10,"Task-10, Job_4","{400, 401}"
2,Task-18,"Task-18, Job_1","{401, 500}"
2,Task-10,"Task-10, Job_5","{500, 501}"
2,Task-18,"Task-18, Job_1","{501, 600}"
2,Task-10,"Task-10, Job_6","{600, 601}"
2,Task-18,"Task-18, Job_1","{601, 684}"
2,Task-16,"Task-16, Job_1","{684, 688}"
2,Task-10,"Task-10, Job_7","{700, 701}"
