core,task,job,duration
1,Task-19,"Task-19, Job_0","{0, 68}"
1,Task-19,"Task-19, Job_1","{100, 168}"
1,Task-19,"Task-19, Job_2","{200, 268}"
1,Task-19,"Task-19, Job_3","{300, 368}"
1,Task-19,"Task-19, Job_4","{400, 468}"
1,Task-19,"Task-19, Job_5","{500, 568}"
1,Task-19,"Task-19, Job_6","{600, 668}"
1,Task-19,"Task-19, Job_7","{700, 768}"
1,Task-19,"Task-19, Job_8","{800, 868}"
1,Task-19,"Task-19, Job_9","{900, 968}"
1,Task-19,"Task-19, Job_10","{1000, 1068}"
1,Task-19,"Task-19, Job_11","{1100, 1168}"
1,Task-19,"Task-19, Job_12","{1200, 1268}"
1,Task-19,"Task-19, Job_13","{1300, 1368}"
1,Task-19,"Task-19, Job_14","{1400, 1468}"
1,Task-19,"Task-19, Job_15","{1500, 1568}"
1,Task-19,"Task-19, Job_16","{1600, 1668}"
1,Task-19,"Task-19, Job_17","{1700, 1768}"
1,Task-19,"Task-19, Job_18","{1800, 1868}"
1,Task-19,"Task-19, Job_19","{1900, 1968}"
2,Task-15,"Task-15, Job_0","{0, 308}"
2,Task-15,"Task-15, Job_1","{500, 808}"
2,Task-15,"Task-15, Job_2","{1000, 1308}"
2,Task-15,"Task-15, Job_3","{1500, 1808}"
3,Task-21,"Task-21, Job_0","{0, 239}"
3,Task-21,"Task-21, Job_1","{400, 639}"
3,Task-21,"Task-21, Job_2","{800, 1039}"
3,Task-21,"Task-21, Job_3","{1200, 1439}"
3,Task-21,"Task-21, Job_4","{1600, 1839}"
4,Task-3_copy-1,"Task-3_copy-1, Job_0","{0, 2}"
4,Task-18,"Task-18, Job_0","{2, 55}"
4,Task-3_copy-1,"Task-3_copy-1, Job_1","{100, 102}"
4,Task-18,"Task-18, Job_1","{102, 155}"
4,Task-3_copy-1,"Task-3_copy-1, Job_2","{200, 202}"
4,Task-18,"Task-18, Job_2","{202, 255}"
4,Task-3_copy-1,"Task-3_copy-1, Job_3","{300, 302}"
4,Task-18,"Task-18, Job_3","{302, 355}"
4,Task-3_copy-1,"Task-3_copy-1, Job_4","{400, 402}"
4,Task-18,"Task-18, Job_4","{402, 455}"
4,Task-3_copy-1,"Task-3_copy-1, Job_5","{500, 502}"
4,Task-18,"Task-18, Job_5","{502, 555}"
4,Task-3_copy-1,"Task-3_copy-1, Job_6","{600, 602}"
4,Task-18,"Task-18, Job_6","{602, 655}"
4,Task-3_copy-1,"Task-3_copy-1, Job_7","{700, 702}"
4,Task-18,"Task-18, Job_7","{702, 755}"
4,Task-3_copy-1,"Task-3_copy-1, Job_8","{800, 802}"
4,Task-18,"Task-18, Job_8","{802, 855}"
4,Task-3_copy-1,"Task-3_copy-1, Job_9","{900, 902}"
4,Task-18,"Task-18, Job_9","{902, 955}"
4,Task-3_copy-1,"Task-3_copy-1, Job_10","{1000, 1002}"
4,Task-18,"Task-18, Job_10","{1002, 1055}"
4,Task-3_copy-1,"Task-3_copy-1, Job_11","{1100, 1102}"
4,Task-18,"Task-18, Job_11","{1102, 1155}"
4,Task-3_copy-1,"Task-3_copy-1, Job_12","{1200, 1202}"
4,Task-18,"Task-18, Job_12","{1202, 1255}"
4,Task-3_copy-1,"Task-3_copy-1, Job_13","{1300, 1302}"
4,Task-18,"Task-18, Job_13","{1302, 1355}"
4,Task-3_copy-1,"Task-3_copy-1, Job_14","{1400, 1402}"
4,Task-18,"Task-18, Job_14","{1402, 1455}"
4,Task-3_copy-1,"Task-3_copy-1, Job_15","{1500, 1502}"
4,Task-18,"Task-18, Job_15","{1502, 1555}"
4,Task-3_copy-1,"Task-3_copy-1, Job_16","{1600, 1602}"
4,Task-18,"Task-18, Job_16","{1602, 1655}"
4,Task-3_copy-1,"Task-3_copy-1, Job_17","{1700, 1702}"
4,Task-18,"Task-18, Job_17","{1702, 1755}"
4,Task-3_copy-1,"Task-3_copy-1, Job_18","{1800, 1802}"
4,Task-18,"Task-18, Job_18","{1802, 1855}"
4,Task-3_copy-1,"Task-3_copy-1, Job_19","{1900, 1902}"
4,Task-18,"Task-18, Job_19","{1902, 1955}"
5,Task-14,"Task-14, Job_0","{0, 4}"
5,Task-4_copy-1,"Task-4_copy-1, Job_0","{4, 22}"
5,Task-24,"Task-24, Job_0","{22, 200}"
5,Task-14,"Task-14, Job_1","{200, 204}"
5,Task-24,"Task-24, Job_0","{204, 400}"
5,Task-14,"Task-14, Job_2","{400, 404}"
5,Task-4_copy-1,"Task-4_copy-1, Job_1","{404, 422}"
5,Task-24,"Task-24, Job_0","{422, 531}"
5,Task-14,"Task-14, Job_3","{600, 604}"
5,Task-14,"Task-14, Job_4","{800, 804}"
5,Task-4_copy-1,"Task-4_copy-1, Job_2","{804, 822}"
5,Task-14,"Task-14, Job_5","{1000, 1004}"
5,Task-24,"Task-24, Job_1","{1004, 1200}"
5,Task-14,"Task-14, Job_6","{1200, 1204}"
5,Task-4_copy-1,"Task-4_copy-1, Job_3","{1204, 1222}"
5,Task-24,"Task-24, Job_1","{1222, 1400}"
5,Task-14,"Task-14, Job_7","{1400, 1404}"
5,Task-24,"Task-24, Job_1","{1404, 1513}"
5,Task-14,"Task-14, Job_8","{1600, 1604}"
5,Task-4_copy-1,"Task-4_copy-1, Job_4","{1604, 1622}"
5,Task-14,"Task-14, Job_9","{1800, 1804}"
6,Task-9_copy-1,"Task-9_copy-1, Job_0","{0, 8}"
6,Task-4_copy-2,"Task-4_copy-2, Job_0","{8, 26}"
6,Task-12,"Task-12, Job_0","{26, 176}"
6,Task-20,"Task-20, Job_0","{176, 178}"
6,Task-9_copy-1,"Task-9_copy-1, Job_1","{200, 208}"
6,Task-9_copy-1,"Task-9_copy-1, Job_2","{400, 408}"
6,Task-4_copy-2,"Task-4_copy-2, Job_1","{408, 426}"
6,Task-12,"Task-12, Job_1","{426, 576}"
6,Task-20,"Task-20, Job_1","{576, 578}"
6,Task-9_copy-1,"Task-9_copy-1, Job_3","{600, 608}"
6,Task-9_copy-1,"Task-9_copy-1, Job_4","{800, 808}"
6,Task-4_copy-2,"Task-4_copy-2, Job_2","{808, 826}"
6,Task-12,"Task-12, Job_2","{826, 976}"
6,Task-20,"Task-20, Job_2","{976, 978}"
6,Task-9_copy-1,"Task-9_copy-1, Job_5","{1000, 1008}"
6,Task-9_copy-1,"Task-9_copy-1, Job_6","{1200, 1208}"
6,Task-4_copy-2,"Task-4_copy-2, Job_3","{1208, 1226}"
6,Task-12,"Task-12, Job_3","{1226, 1376}"
6,Task-20,"Task-20, Job_3","{1376, 1378}"
6,Task-9_copy-1,"Task-9_copy-1, Job_7","{1400, 1408}"
6,Task-9_copy-1,"Task-9_copy-1, Job_8","{1600, 1608}"
6,Task-4_copy-2,"Task-4_copy-2, Job_4","{1608, 1626}"
6,Task-12,"Task-12, Job_4","{1626, 1776}"
6,Task-20,"Task-20, Job_4","{1776, 1778}"
6,Task-9_copy-1,"Task-9_copy-1, Job_9","{1800, 1808}"
7,Task-9,"Task-9, Job_0","{0, 8}"
7,Task-4,"Task-4, Job_0","{8, 26}"
7,Task-13,"Task-13, Job_0","{26, 36}"
7,Task-6,"Task-6, Job_0","{36, 124}"
7,Task-9,"Task-9, Job_1","{200, 208}"
7,Task-9,"Task-9, Job_2","{400, 408}"
7,Task-4,"Task-4, Job_1","{408, 426}"
7,Task-13,"Task-13, Job_1","{426, 436}"
7,Task-6,"Task-6, Job_1","{500, 588}"
7,Task-9,"Task-9, Job_3","{600, 608}"
7,Task-9,"Task-9, Job_4","{800, 808}"
7,Task-4,"Task-4, Job_2","{808, 826}"
7,Task-13,"Task-13, Job_2","{826, 836}"
7,Task-9,"Task-9, Job_5","{1000, 1008}"
7,Task-6,"Task-6, Job_2","{1008, 1096}"
7,Task-9,"Task-9, Job_6","{1200, 1208}"
7,Task-4,"Task-4, Job_3","{1208, 1226}"
7,Task-13,"Task-13, Job_3","{1226, 1236}"
7,Task-9,"Task-9, Job_7","{1400, 1408}"
7,Task-6,"Task-6, Job_3","{1500, 1588}"
7,Task-9,"Task-9, Job_8","{1600, 1608}"
7,Task-4,"Task-4, Job_4","{1608, 1626}"
7,Task-13,"Task-13, Job_4","{1626, 1636}"
7,Task-9,"Task-9, Job_9","{1800, 1808}"
8,Task-3,"Task-3, Job_0","{0, 2}"
8,Task-22,"Task-22, Job_0","{2, 17}"
8,Task-6_copy-1,"Task-6_copy-1, Job_0","{17, 100}"
8,Task-3,"Task-3, Job_1","{100, 102}"
8,Task-22,"Task-22, Job_1","{102, 117}"
8,Task-6_copy-1,"Task-6_copy-1, Job_0","{117, 122}"
8,Task-3,"Task-3, Job_2","{200, 202}"
8,Task-22,"Task-22, Job_2","{202, 217}"
8,Task-3,"Task-3, Job_3","{300, 302}"
8,Task-22,"Task-22, Job_3","{302, 317}"
8,Task-3,"Task-3, Job_4","{400, 402}"
8,Task-22,"Task-22, Job_4","{402, 417}"
8,Task-3,"Task-3, Job_5","{500, 502}"
8,Task-22,"Task-22, Job_5","{502, 517}"
8,Task-6_copy-1,"Task-6_copy-1, Job_1","{517, 600}"
8,Task-3,"Task-3, Job_6","{600, 602}"
8,Task-22,"Task-22, Job_6","{602, 617}"
8,Task-6_copy-1,"Task-6_copy-1, Job_1","{617, 622}"
8,Task-3,"Task-3, Job_7","{700, 702}"
8,Task-22,"Task-22, Job_7","{702, 717}"
8,Task-3,"Task-3, Job_8","{800, 802}"
8,Task-22,"Task-22, Job_8","{802, 817}"
8,Task-3,"Task-3, Job_9","{900, 902}"
8,Task-22,"Task-22, Job_9","{902, 917}"
8,Task-3,"Task-3, Job_10","{1000, 1002}"
8,Task-22,"Task-22, Job_10","{1002, 1017}"
8,Task-6_copy-1,"Task-6_copy-1, Job_2","{1017, 1100}"
8,Task-3,"Task-3, Job_11","{1100, 1102}"
8,Task-22,"Task-22, Job_11","{1102, 1117}"
8,Task-6_copy-1,"Task-6_copy-1, Job_2","{1117, 1122}"
8,Task-3,"Task-3, Job_12","{1200, 1202}"
8,Task-22,"Task-22, Job_12","{1202, 1217}"
8,Task-3,"Task-3, Job_13","{1300, 1302}"
8,Task-22,"Task-22, Job_13","{1302, 1317}"
8,Task-3,"Task-3, Job_14","{1400, 1402}"
8,Task-22,"Task-22, Job_14","{1402, 1417}"
8,Task-3,"Task-3, Job_15","{1500, 1502}"
8,Task-22,"Task-22, Job_15","{1502, 1517}"
8,Task-6_copy-1,"Task-6_copy-1, Job_3","{1517, 1600}"
8,Task-3,"Task-3, Job_16","{1600, 1602}"
8,Task-22,"Task-22, Job_16","{1602, 1617}"
8,Task-6_copy-1,"Task-6_copy-1, Job_3","{1617, 1622}"
8,Task-3,"Task-3, Job_17","{1700, 1702}"
8,Task-22,"Task-22, Job_17","{1702, 1717}"
8,Task-3,"Task-3, Job_18","{1800, 1802}"
8,Task-22,"Task-22, Job_18","{1802, 1817}"
8,Task-3,"Task-3, Job_19","{1900, 1902}"
8,Task-22,"Task-22, Job_19","{1902, 1917}"
9,Task-3_copy-2,"Task-3_copy-2, Job_0","{0, 2}"
9,Task-16,"Task-16, Job_0","{2, 18}"
9,Task-6_copy-2,"Task-6_copy-2, Job_0","{18, 100}"
9,Task-3_copy-2,"Task-3_copy-2, Job_1","{100, 102}"
9,Task-16,"Task-16, Job_1","{102, 118}"
9,Task-6_copy-2,"Task-6_copy-2, Job_0","{118, 124}"
9,Task-3_copy-2,"Task-3_copy-2, Job_2","{200, 202}"
9,Task-16,"Task-16, Job_2","{202, 218}"
9,Task-3_copy-2,"Task-3_copy-2, Job_3","{300, 302}"
9,Task-16,"Task-16, Job_3","{302, 318}"
9,Task-3_copy-2,"Task-3_copy-2, Job_4","{400, 402}"
9,Task-16,"Task-16, Job_4","{402, 418}"
9,Task-3_copy-2,"Task-3_copy-2, Job_5","{500, 502}"
9,Task-16,"Task-16, Job_5","{502, 518}"
9,Task-6_copy-2,"Task-6_copy-2, Job_1","{518, 600}"
9,Task-3_copy-2,"Task-3_copy-2, Job_6","{600, 602}"
9,Task-16,"Task-16, Job_6","{602, 618}"
9,Task-6_copy-2,"Task-6_copy-2, Job_1","{618, 624}"
9,Task-3_copy-2,"Task-3_copy-2, Job_7","{700, 702}"
9,Task-16,"Task-16, Job_7","{702, 718}"
9,Task-3_copy-2,"Task-3_copy-2, Job_8","{800, 802}"
9,Task-16,"Task-16, Job_8","{802, 818}"
9,Task-3_copy-2,"Task-3_copy-2, Job_9","{900, 902}"
9,Task-16,"Task-16, Job_9","{902, 918}"
9,Task-3_copy-2,"Task-3_copy-2, Job_10","{1000, 1002}"
9,Task-16,"Task-16, Job_10","{1002, 1018}"
9,Task-6_copy-2,"Task-6_copy-2, Job_2","{1018, 1100}"
9,Task-3_copy-2,"Task-3_copy-2, Job_11","{1100, 1102}"
9,Task-16,"Task-16, Job_11","{1102, 1118}"
9,Task-6_copy-2,"Task-6_copy-2, Job_2","{1118, 1124}"
9,Task-3_copy-2,"Task-3_copy-2, Job_12","{1200, 1202}"
9,Task-16,"Task-16, Job_12","{1202, 1218}"
9,Task-3_copy-2,"Task-3_copy-2, Job_13","{1300, 1302}"
9,Task-16,"Task-16, Job_13","{1302, 1318}"
9,Task-3_copy-2,"Task-3_copy-2, Job_14","{1400, 1402}"
9,Task-16,"Task-16, Job_14","{1402, 1418}"
9,Task-3_copy-2,"Task-3_copy-2, Job_15","{1500, 1502}"
9,Task-16,"Task-16, Job_15","{1502, 1518}"
9,Task-6_copy-2,"Task-6_copy-2, Job_3","{1518, 1600}"
9,Task-3_copy-2,"Task-3_copy-2, Job_16","{1600, 1602}"
9,Task-16,"Task-16, Job_16","{1602, 1618}"
9,Task-6_copy-2,"Task-6_copy-2, Job_3","{1618, 1624}"
9,Task-3_copy-2,"Task-3_copy-2, Job_17","{1700, 1702}"
9,Task-16,"Task-16, Job_17","{1702, 1718}"
9,Task-3_copy-2,"Task-3_copy-2, Job_18","{1800, 1802}"
9,Task-16,"Task-16, Job_18","{1802, 1818}"
9,Task-3_copy-2,"Task-3_copy-2, Job_19","{1900, 1902}"
9,Task-16,"Task-16, Job_19","{1902, 1918}"
10,Task-7,"Task-7, Job_0","{0, 51}"
10,Task-5,"Task-5, Job_0","{51, 58}"
10,Task-17,"Task-17, Job_0","{58, 133}"
10,Task-7,"Task-7, Job_1","{400, 451}"
10,Task-5,"Task-5, Job_1","{451, 458}"
10,Task-17,"Task-17, Job_1","{458, 533}"
10,Task-7,"Task-7, Job_2","{800, 851}"
10,Task-5,"Task-5, Job_2","{851, 858}"
10,Task-17,"Task-17, Job_2","{858, 933}"
10,Task-7,"Task-7, Job_3","{1200, 1251}"
