task,utilization,period,criticality,assigned core,core utilization
Task-1,0.45106863293861243,100,high,1,0.45106863293861243
Task-1_copy-1,0.45106863293861243,100,high,2,0.45106863293861243
Task-1_copy-2,0.45106863293861243,100,high,3,0.45106863293861243
Task-11,0.2668540773381125,500,high,1,0.7179227102767249
Task-11_copy-1,0.2668540773381125,500,high,2,0.7179227102767249
Task-11_copy-2,0.2668540773381125,500,high,3,0.7179227102767249
Task-15,0.2648136159289982,500,low,4,0.2648136159289982
Task-24,0.24615784212432262,200,low,4,0.5109714580533209
Task-8,0.22054180291328862,200,high,4,0.7315132609666095
Task-8_copy-1,0.22054180291328862,200,high,5,0.22054180291328862
Task-8_copy-2,0.22054180291328862,200,high,5,0.44108360582657724
Task-4,0.21230710068959602,500,high,5,0.6533907065161733
Task-4_copy-1,0.21230710068959602,500,high,6,0.21230710068959602
Task-4_copy-2,0.21230710068959602,500,high,6,0.42461420137919204
Task-10,0.20109055962481803,200,high,6,0.6257047610040101
Task-10_copy-1,0.20109055962481803,200,high,7,0.20109055962481803
Task-10_copy-2,0.20109055962481803,200,high,7,0.40218111924963607
Task-2,0.17661042392779436,100,high,7,0.5787915431774304
Task-2_copy-1,0.17661042392779436,100,high,8,0.17661042392779436
Task-2_copy-2,0.17661042392779436,100,high,8,0.3532208478555887
Task-20,0.16664321370447654,100,low,7,0.745434756881907
Task-18,0.15865871999100778,500,low,8,0.5118795678465965
Task-3,0.15331246993777725,400,high,8,0.6651920377843737
Task-3_copy-1,0.15331246993777725,400,high,1,0.8712351802145022
Task-3_copy-2,0.15331246993777725,400,high,2,0.8712351802145022
Task-7,0.14250245554947827,200,high,3,0.8604251658262032
Task-7_copy-1,0.14250245554947827,200,high,4,0.8740157165160878
Task-7_copy-2,0.14250245554947827,200,high,5,0.7958931620656515
Task-21,0.12622716025657887,200,low,1,0.9974623404710811
Task-13,0.049346340313510595,1000,low,6,0.6750511013175207
Task-12,0.04696750284037443,500,low,6,0.7220186041578951
Task-16,0.02953890791598024,400,low,8,0.694730945700354
Task-22,0.021455272656506014,100,low,6,0.7434738768144011
Task-0,0.0182238739858418,100,high,8,0.7129548196861958
Task-0_copy-1,0.0182238739858418,100,high,8,0.7311786936720376
Task-0_copy-2,0.0182238739858418,100,high,8,0.7494025676578794
Task-19,0.012399348573448266,200,low,2,0.8836345287879505
Task-6,0.011536497386876565,400,high,2,0.895171026174827
Task-6_copy-1,0.011536497386876565,400,high,2,0.9067075235617036
Task-6_copy-2,0.011536497386876565,400,high,2,0.9182440209485802
Task-5,0.008570257072665344,100,high,2,0.9268142780212455
Task-5_copy-1,0.008570257072665344,100,high,2,0.9353845350939108
Task-5_copy-2,0.008570257072665344,100,high,2,0.9439547921665762
Task-14,0.007608052373423435,100,low,2,0.9515628445399996
Task-9,0.004131751184647703,200,high,6,0.7476056279990488
Task-9_copy-1,0.004131751184647703,200,high,7,0.7495665080665547
Task-9_copy-2,0.004131751184647703,200,high,2,0.9556945957246473
Task-17,0.002068252228022427,100,low,6,0.7496738802270713
Task-23,0.0013658685438416585,100,low,1,0.9988282090149228
