task,utilization,period,criticality,assigned core,core utilization
Task-65,0.4216772804127502,10,low,16,0.4216772804127502
Task-91,0.19573085791692268,400,low,15,0.19573085791692268
Task-68,0.19505314546651942,400,low,15,0.3907840033834421
Task-55,0.17922128318986186,1000,low,14,0.17922128318986186
Task-62,0.17479692844791384,1000,low,14,0.3540182116377757
Task-59,0.17402103201523023,20,low,13,0.17402103201523023
Task-82,0.16583565731999794,200,low,13,0.33985668933522817
Task-35,0.1564816852598696,500,high,13,0.4963383745950978
Task-35_copy-1,0.1564816852598696,500,high,12,0.1564816852598696
Task-35_copy-2,0.1564816852598696,500,high,12,0.3129633705197392
Task-70,0.1560412662510795,25,low,12,0.4690046367708187
Task-56,0.14886087517736257,50,low,11,0.14886087517736257
Task-76,0.13785756859510823,100,low,14,0.4918757802328839
Task-90,0.1286677191041362,200,low,11,0.2775285942814988
Task-94,0.1263366909661917,10,low,11,0.4038652852476905
Task-78,0.12157675467685602,500,low,10,0.12157675467685602
Task-63,0.11986646068394569,50,low,10,0.2414432153608017
Task-89,0.1198163418574325,50,low,10,0.3612595572182342
Task-87,0.11279958558913705,100,low,10,0.47405914280737127
Task-57,0.11019159916273402,1000,low,9,0.11019159916273402
Task-98,0.1014577078469705,400,low,15,0.4922417112304126
Task-52,0.0962972904800683,20,low,9,0.20648888964280232
Task-58,0.09191810970193304,200,low,11,0.49578339494962353
Task-51,0.0846176161481269,400,low,9,0.2911065057909292
Task-73,0.079559360604055,100,low,9,0.3706658663949842
Task-69,0.07888226130566744,500,low,9,0.44954812770065167
Task-80,0.07727454088183583,20,low,16,0.49895182129458604
Task-43,0.07572225630456852,50,high,8,0.07572225630456852
Task-43_copy-1,0.07572225630456852,50,high,8,0.15144451260913705
Task-43_copy-2,0.07572225630456852,50,high,8,0.22716676891370557
Task-79,0.07226056799012093,100,low,8,0.2994273369038265
Task-97,0.07120132756405212,10,low,8,0.3706286644678786
Task-95,0.06752458547923407,25,low,8,0.4381532499471127
Task-19,0.06118850783462282,100,high,8,0.4993417577817355
Task-19_copy-1,0.06118850783462282,100,high,7,0.06118850783462282
Task-19_copy-2,0.06118850783462282,100,high,7,0.12237701566924564
Task-8,0.05952749587006245,50,high,7,0.1819045115393081
Task-8_copy-1,0.05952749587006245,50,high,7,0.24143200740937054
Task-8_copy-2,0.05952749587006245,50,high,7,0.300959503279433
Task-50,0.056913056734956946,25,low,7,0.35787256001438994
Task-54,0.05516718938375309,50,low,7,0.41303974939814303
Task-85,0.05503775521206866,200,low,7,0.4680775046102117
Task-93,0.05483076120217201,20,low,6,0.05483076120217201
Task-88,0.04941521648707092,25,low,9,0.4989633441877226
Task-13,0.04807963639801057,20,high,6,0.10291039760018258
Task-13_copy-1,0.04807963639801057,20,high,6,0.15099003399819316
Task-13_copy-2,0.04807963639801057,20,high,6,0.19906967039620374
Task-27,0.04675826240761142,50,high,6,0.24582793280381515
Task-27_copy-1,0.04675826240761142,50,high,6,0.2925861952114266
Task-27_copy-2,0.04675826240761142,50,high,6,0.33934445761903803
Task-60,0.04660204382339872,400,low,6,0.38594650144243675
Task-75,0.04645766799386086,1000,low,6,0.4324041694362976
Task-33,0.0459320437610522,50,high,6,0.4783362131973498
Task-33_copy-1,0.0459320437610522,50,high,5,0.0459320437610522
Task-33_copy-2,0.0459320437610522,50,high,5,0.0918640875221044
Task-83,0.04470817139669836,10,low,5,0.13657225891880276
Task-53,0.04465698980090593,500,low,5,0.1812292487197087
Task-99,0.04390008697559205,10,low,5,0.22512933569530075
Task-21,0.04175489731179649,200,high,5,0.26688423300709724
Task-21_copy-1,0.04175489731179649,200,high,5,0.30863913031889373
Task-21_copy-2,0.04175489731179649,200,high,5,0.3503940276306902
Task-14,0.03995560864480415,400,high,5,0.39034963627549435
