task,utilization,period,criticality,assigned core,core utilization
Task-4,0.6055192998057701,100,high,1,0.6055192998057701
Task-4_copy-1,0.6055192998057701,100,high,2,0.6055192998057701
Task-4_copy-2,0.6055192998057701,100,high,3,0.6055192998057701
Task-16,0.5437727307350553,400,low,4,0.5437727307350553
Task-11,0.4213211235546206,100,high,5,0.4213211235546206
Task-11_copy-1,0.4213211235546206,100,high,6,0.4213211235546206
Task-11_copy-2,0.4213211235546206,100,high,7,0.4213211235546206
Task-14,0.3465456568456051,100,low,8,0.3465456568456051
Task-18,0.2892801421967815,500,low,9,0.2892801421967815
Task-3,0.2714295401993301,500,high,10,0.2714295401993301
Task-3_copy-1,0.2714295401993301,500,high,11,0.2714295401993301
Task-3_copy-2,0.2714295401993301,500,high,12,0.2714295401993301
Task-1,0.26951770798119457,200,high,13,0.26951770798119457
Task-1_copy-1,0.26951770798119457,200,high,14,0.26951770798119457
Task-1_copy-2,0.26951770798119457,200,high,15,0.26951770798119457
Task-15,0.13507393394840972,100,low,8,0.48161959079401484
Task-20,0.12620515103708552,100,low,9,0.415485293233867
Task-13,0.11864828100724911,200,low,10,0.3900778212065792
Task-6,0.10518033035818641,1000,high,10,0.4952581515647656
Task-6_copy-1,0.10518033035818641,1000,high,11,0.3766098705575165
Task-6_copy-2,0.10518033035818641,1000,high,11,0.4817902009157029
Task-22,0.10207200044684155,500,low,12,0.37350154064617164
Task-17,0.0990523590415463,100,low,12,0.47255389968771794
Task-0,0.09265853450334927,1000,high,13,0.36217624248454383
Task-0_copy-1,0.09265853450334927,1000,high,13,0.4548347769878931
Task-0_copy-2,0.09265853450334927,1000,high,14,0.36217624248454383
Task-9,0.07846114039230079,200,high,5,0.4997822639469214
Task-9_copy-1,0.07846114039230079,200,high,6,0.4997822639469214
Task-9_copy-2,0.07846114039230079,200,high,7,0.4997822639469214
Task-8,0.075905874632757,500,high,9,0.491391167866624
Task-8_copy-1,0.075905874632757,500,high,14,0.43808211711730083
Task-8_copy-2,0.075905874632757,500,high,15,0.34542358261395156
Task-19,0.06855881792183582,200,low,15,0.4139824005357874
Task-10,0.0638738877138314,400,high,15,0.4778562882496188
Task-10_copy-1,0.0638738877138314,400,high,16,0.0638738877138314
Task-10_copy-2,0.0638738877138314,400,high,16,0.1277477754276628
Task-2,0.06216263672397471,400,high,16,0.1899104121516375
Task-2_copy-1,0.06216263672397471,400,high,16,0.2520730488756122
Task-2_copy-2,0.06216263672397471,400,high,16,0.3142356855995869
Task-23,0.04643991091708175,200,low,14,0.4845220280343826
Task-5,0.03190782039290285,100,high,13,0.48674259738079595
Task-5_copy-1,0.03190782039290285,100,high,16,0.3461435059924898
Task-5_copy-2,0.03190782039290285,100,high,16,0.3780513263853926
Task-12,0.016756129698760835,1000,low,8,0.4983757204927757
Task-24,0.014065303754138593,500,low,11,0.4958555046698415
Task-7,0.009122842380532514,1000,high,12,0.48167674206825045
Task-7_copy-1,0.009122842380532514,1000,high,12,0.49079958444878297
Task-7_copy-2,0.009122842380532514,1000,high,12,0.4999224268293155
Task-21,0.006468843810858604,100,low,9,0.4978600116774826
