task,utilization,period,criticality,assigned core,core utilization
Task-10,0.3951426965199867,500,high,1,0.3951426965199867
Task-10_copy-1,0.3951426965199867,500,high,2,0.3951426965199867
Task-10_copy-2,0.3951426965199867,500,high,3,0.3951426965199867
Task-14,0.3436825143852973,500,low,4,0.3436825143852973
Task-21,0.32329157452915963,100,low,5,0.32329157452915963
Task-19,0.2510610855529092,1000,low,6,0.2510610855529092
Task-6,0.19408838231204317,1000,high,7,0.19408838231204317
Task-6_copy-1,0.19408838231204317,1000,high,8,0.19408838231204317
Task-6_copy-2,0.19408838231204317,1000,high,8,0.38817676462408635
Task-8,0.18909199121360798,400,high,7,0.38318037352565115
Task-8_copy-1,0.18909199121360798,400,high,6,0.44015307676651716
Task-8_copy-2,0.18909199121360798,400,high,5,0.5123835657427676
Task-12,0.15679141628496107,1000,low,4,0.5004739306702584
Task-0,0.14492309039743523,200,high,7,0.5281034639230864
Task-0_copy-1,0.14492309039743523,200,high,8,0.5330998550215216
Task-0_copy-2,0.14492309039743523,200,high,3,0.5400657869174219
Task-1,0.1307719255948765,400,high,2,0.5259146221148632
Task-1_copy-1,0.1307719255948765,400,high,1,0.5259146221148632
Task-1_copy-2,0.1307719255948765,400,high,6,0.5709250023613937
Task-9,0.10713226848564883,100,high,4,0.6076061991559072
Task-9_copy-1,0.10713226848564883,100,high,5,0.6195158342284164
Task-9_copy-2,0.10713226848564883,100,high,1,0.633046890600512
Task-7,0.1056135006732628,500,high,2,0.631528122788126
Task-7_copy-1,0.1056135006732628,500,high,7,0.6337169645963492
Task-7_copy-2,0.1056135006732628,500,high,8,0.6387133556947844
Task-11,0.10458584125699488,200,high,3,0.6446516281744168
Task-11_copy-1,0.10458584125699488,200,high,6,0.6755108436183885
Task-11_copy-2,0.10458584125699488,200,high,4,0.7121920404129021
Task-4,0.09346260518959282,1000,high,5,0.7129784394180092
Task-4_copy-1,0.09346260518959282,1000,high,2,0.7249907279777188
Task-4_copy-2,0.09346260518959282,1000,high,1,0.7265094957901048
Task-17,0.08787621211164687,1000,low,7,0.721593176707996
Task-18,0.0863912649262748,400,low,8,0.7251046206210592
Task-2,0.07099902352714293,400,high,3,0.7156506517015597
Task-2_copy-1,0.07099902352714293,400,high,6,0.7465098671455315
Task-2_copy-2,0.07099902352714293,400,high,4,0.783191063940045
Task-22,0.060871178229294845,100,low,5,0.7738496176473041
Task-20,0.037207080076157695,400,low,3,0.7528577317777174
Task-13,0.036408256469314004,500,low,7,0.7580014331773101
Task-5,0.022302342376574913,100,high,2,0.7472930703542937
Task-5_copy-1,0.022302342376574913,100,high,8,0.7474069629976341
Task-5_copy-2,0.022302342376574913,100,high,1,0.7488118381666797
Task-16,0.01649051438637017,100,low,6,0.7630003815319016
Task-15,0.015354533681876892,1000,low,2,0.7626476040361706
Task-3,0.014076320441965606,400,high,8,0.7614832834395997
Task-3_copy-1,0.014076320441965606,400,high,1,0.7628881586086453
Task-3_copy-2,0.014076320441965606,400,high,3,0.766934052219683
Task-24,0.008436923630308428,500,low,7,0.7664383568076185
Task-23,0.003947457747296785,1000,low,8,0.7654307411868965
