task,utilization,period,criticality,assigned core,core utilization
Task-51,0.325001260321649,50,low,8,0.325001260321649
Task-74,0.16719134506609912,400,low,8,0.4921926053877481
Task-76,0.15345673447037078,400,low,8,0.6456493398581189
Task-93,0.1363504028982518,200,low,7,0.1363504028982518
Task-64,0.1358100665470201,25,low,7,0.2721604694452719
Task-58,0.13533105137833923,500,low,7,0.4074915208236111
Task-60,0.13134875342248975,200,low,7,0.5388402742461009
Task-70,0.12873814906901893,100,low,7,0.6675784233151199
Task-87,0.12530441791091684,50,low,6,0.12530441791091684
Task-53,0.11710055609261127,100,low,6,0.24240497400352812
Task-72,0.10840380517219672,100,low,6,0.35080877917572484
Task-94,0.10127451690760139,400,low,8,0.7469238567657203
Task-91,0.10070961544899787,200,low,6,0.4515183946247227
Task-62,0.09981264966868864,10,low,6,0.5513310442934114
Task-73,0.09702694230319109,25,low,6,0.6483579865966025
Task-95,0.08853518231964236,50,low,6,0.7368931689162448
Task-68,0.08852058656484463,25,low,5,0.08852058656484463
Task-81,0.08484827290171237,400,low,5,0.173368859466557
Task-75,0.06842724727042193,200,low,7,0.7360056705855418
Task-59,0.06744799674847979,20,low,5,0.2408168562150368
Task-50,0.06643018350370822,400,low,5,0.307247039718745
Task-67,0.06502668534234157,400,low,5,0.3722737250610866
Task-56,0.06446972200921675,10,low,5,0.4367434470703033
Task-77,0.05867803006713346,1000,low,5,0.4954214771374368
Task-21,0.05600716447413401,10,high,5,0.5514286416115708
Task-21_copy-1,0.05600716447413401,10,high,5,0.6074358060857048
Task-21_copy-2,0.05600716447413401,10,high,5,0.6634429705598388
Task-30,0.05362448227300091,20,high,5,0.7170674528328397
Task-30_copy-1,0.05362448227300091,20,high,4,0.05362448227300091
Task-30_copy-2,0.05362448227300091,20,high,4,0.10724896454600182
Task-86,0.0522991509504771,1000,low,4,0.1595481154964789
Task-69,0.05123755698609411,20,low,4,0.21078567248257302
Task-92,0.048854380640663886,400,low,4,0.2596400531232369
Task-90,0.04568639818389908,50,low,4,0.305326451307136
Task-85,0.04503375807724419,20,low,4,0.3503602093843802
Task-65,0.043904035024390886,500,low,4,0.39426424440877106
Task-57,0.04070544786786101,50,low,4,0.43496969227663207
Task-4,0.0406190255844745,10,high,4,0.47558871786110657
Task-4_copy-1,0.0406190255844745,10,high,4,0.5162077434455811
Task-4_copy-2,0.0406190255844745,10,high,4,0.5568267690300556
Task-49,0.03872750832830141,100,high,4,0.595554277358357
Task-49_copy-1,0.03872750832830141,100,high,4,0.6342817856866584
Task-49_copy-2,0.03872750832830141,100,high,4,0.6730092940149598
